,rank,id,artist,song,year,query,searcher,clean_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
67,68,68,Chris Brown featuring Tyga and Kevin McCall,Deuces,2010,Chris Brown,Chris Brown Deuces,Chris Brown,0.692,0.736,1,-5.109,1,0.11,0.0324,0.0,0.0787,0.217,73.987,4.609333333333334,4
67,68,68,Chris Brown featuring Tyga and Kevin McCall,Deuces,2010,Chris Brown,Chris Brown Deuces,Tyga,0.692,0.736,1,-5.109,1,0.11,0.0324,0.0,0.0787,0.217,73.987,4.609333333333334,4
67,68,68,Chris Brown featuring Tyga and Kevin McCall,Deuces,2010,Chris Brown,Chris Brown Deuces,Kevin McCall,0.692,0.736,1,-5.109,1,0.11,0.0324,0.0,0.0787,0.217,73.987,4.609333333333334,4
68,69,69,Britney Spears,3,2010,Britney Spears,Britney Spears 3,Britney Spears,0.697,0.709,5,-1.917,0,0.0455,0.0452,0.0,0.138,0.787,134.91,3.5528833333333334,4
69,70,70,Shontelle,Impossible,2010,Shontelle,Shontelle Impossible,Shontelle,0.599,0.624,8,-3.631,1,0.0343,0.385,0.0,0.125,0.539,90.034,3.77555,4
70,71,71,"Drake featuring Kanye West, Lil Wayne and Eminem",Forever,2010,Drake featuring,Drake  Forever,Drake,0.415,0.926,5,-1.304,0,0.374,0.253,0.0,0.256,0.542,158.423,5.955783333333334,4
70,71,71,"Drake featuring Kanye West, Lil Wayne and Eminem",Forever,2010,Drake featuring,Drake  Forever,Kanye West,0.415,0.926,5,-1.304,0,0.374,0.253,0.0,0.256,0.542,158.423,5.955783333333334,4
70,71,71,"Drake featuring Kanye West, Lil Wayne and Eminem",Forever,2010,Drake featuring,Drake  Forever,Lil Wayne,0.415,0.926,5,-1.304,0,0.374,0.253,0.0,0.256,0.542,158.423,5.955783333333334,4
70,71,71,"Drake featuring Kanye West, Lil Wayne and Eminem",Forever,2010,Drake featuring,Drake  Forever,Eminem,0.415,0.926,5,-1.304,0,0.374,0.253,0.0,0.256,0.542,158.423,5.955783333333334,4
71,72,72,Boys Like Girls featuring Taylor Swift,Two Is Better Than One,2010,Boys Like,Boys Like Two Is Better Than One,Boys Like Girls,0.521,0.702,0,-5.189,1,0.0331,0.189,0.0,0.0962,0.25,127.976,4.0473333333333334,4
71,72,72,Boys Like Girls featuring Taylor Swift,Two Is Better Than One,2010,Boys Like,Boys Like Two Is Better Than One,Taylor Swift,0.521,0.702,0,-5.189,1,0.0331,0.189,0.0,0.0962,0.25,127.976,4.0473333333333334,4
72,73,73,3OH!3 featuring Kesha,My First Kiss,2010,3OH!3 featuring,3OH!3  My First Kiss,3OH!3,0.682,0.889,0,-4.166,1,0.0804,0.00564,0.0,0.36,0.827,138.021,3.207333333333333,4
72,73,73,3OH!3 featuring Kesha,My First Kiss,2010,3OH!3 featuring,3OH!3  My First Kiss,Kesha,0.682,0.889,0,-4.166,1,0.0804,0.00564,0.0,0.36,0.827,138.021,3.207333333333333,4
73,74,74,Kelly Clarkson,Already Gone,2010,Kelly Clarkson,Kelly Clarkson Already Gone,Kelly Clarkson,0.209,0.872,9,-2.996,1,0.0757,0.217,0.0,0.0768,0.294,78.139,4.692666666666667,4
74,75,75,The Black Eyed Peas,Rock That Body,2010,The Black,The Black Rock That Body,Black Eyed Peas,0.715,0.907,7,-6.025,0,0.0993,0.0172,8.39e-05,0.426,0.841,124.992,4.480666666666667,4
75,76,76,OneRepublic,Secrets,2010,OneRepublic,OneRepublic Secrets,OneRepublic,0.516,0.764,2,-6.223,1,0.0366,0.0717,0.0,0.115,0.376,148.021,3.744883333333333,4
76,77,77,Selena Gomez & the Scene,Naturally,2010,Selena Gomez,Selena Gomez Naturally,Selena Gomez & The Scene,0.605,0.902,10,-5.406,0,0.0511,0.0185,1.01e-06,0.0534,0.875,132.612,3.37645,4
77,78,78,Alicia Keys,Un-Thinkable (I'm Ready),2010,Alicia Keys,Alicia Keys Un-Thinkable (I'm Ready),Alicia Keys,0.595,0.507,7,-7.892,1,0.0618,0.732,1.97e-05,0.106,0.337,86.099,4.154,4
78,79,79,"DJ Khaled featuring T-Pain, Ludacris, Snoop Dogg and Rick Ross",All I Do Is Win,2010,DJ Khaled,DJ Khaled All I Do Is Win,DJ Khaled,0.545,0.781,10,-3.616,1,0.185,0.0139,0.0,0.161,0.277,150.097,3.8751166666666665,4
78,79,79,"DJ Khaled featuring T-Pain, Ludacris, Snoop Dogg and Rick Ross",All I Do Is Win,2010,DJ Khaled,DJ Khaled All I Do Is Win,Ludacris,0.545,0.781,10,-3.616,1,0.185,0.0139,0.0,0.161,0.277,150.097,3.8751166666666665,4
78,79,79,"DJ Khaled featuring T-Pain, Ludacris, Snoop Dogg and Rick Ross",All I Do Is Win,2010,DJ Khaled,DJ Khaled All I Do Is Win,T-Pain,0.545,0.781,10,-3.616,1,0.185,0.0139,0.0,0.161,0.277,150.097,3.8751166666666665,4
78,79,79,"DJ Khaled featuring T-Pain, Ludacris, Snoop Dogg and Rick Ross",All I Do Is Win,2010,DJ Khaled,DJ Khaled All I Do Is Win,Snoop Dogg,0.545,0.781,10,-3.616,1,0.185,0.0139,0.0,0.161,0.277,150.097,3.8751166666666665,4
78,79,79,"DJ Khaled featuring T-Pain, Ludacris, Snoop Dogg and Rick Ross",All I Do Is Win,2010,DJ Khaled,DJ Khaled All I Do Is Win,Rick Ross,0.545,0.781,10,-3.616,1,0.185,0.0139,0.0,0.161,0.277,150.097,3.8751166666666665,4
79,80,80,"Kevin Rudolf featuring Birdman, Jay Sean and Lil Wayne",I Made It (Cash Money Heroes),2010,Kevin Rudolf,Kevin Rudolf I Made It (Cash Money Heroes),Kevin Rudolf,0.592,0.944,7,-2.94,1,0.111,0.043,0.0,0.365,0.574,124.42,4.159116666666667,5
79,80,80,"Kevin Rudolf featuring Birdman, Jay Sean and Lil Wayne",I Made It (Cash Money Heroes),2010,Kevin Rudolf,Kevin Rudolf I Made It (Cash Money Heroes),Birdman,0.592,0.944,7,-2.94,1,0.111,0.043,0.0,0.365,0.574,124.42,4.159116666666667,5
79,80,80,"Kevin Rudolf featuring Birdman, Jay Sean and Lil Wayne",I Made It (Cash Money Heroes),2010,Kevin Rudolf,Kevin Rudolf I Made It (Cash Money Heroes),Jay Sean,0.592,0.944,7,-2.94,1,0.111,0.043,0.0,0.365,0.574,124.42,4.159116666666667,5
79,80,80,"Kevin Rudolf featuring Birdman, Jay Sean and Lil Wayne",I Made It (Cash Money Heroes),2010,Kevin Rudolf,Kevin Rudolf I Made It (Cash Money Heroes),Lil Wayne,0.592,0.944,7,-2.94,1,0.111,0.043,0.0,0.365,0.574,124.42,4.159116666666667,5
